"id","gen","age","edu","cur","cit","dec"
1,1,23,4,2,1,2
2,1,20,5,2,1,1
3,1,20,5,2,1,2
4,1,19,5,2,1,2
5,1,26,6,2,1,2
6,1,26,5,2,1,2
7,2,24,5,2,1,1
8,1,20,5,2,1,1
9,1,25,5,2,1,2
10,1,19,5,2,1,2
11,1,20,5,2,1,1
12,1,24,5,2,1,1
13,1,21,5,2,1,2
14,1,19,5,2,1,2
15,1,18,5,2,1,1
16,2,21,5,2,1,2
17,1,21,5,2,1,1
18,1,18,5,2,1,1
19,2,29,6,2,1,1
20,1,20,5,2,1,2
21,2,22,5,2,1,1
22,2,20,5,2,1,1
23,1,22,5,2,1,1
24,2,20,5,2,1,2
25,1,19,5,2,1,2
26,1,21,5,2,1,2
27,1,18,5,2,1,2
28,2,18,5,2,1,2
29,2,19,5,2,1,1
30,1,19,5,2,1,1
31,1,21,5,2,1,2
